"","Gene","log2FC","pVal","qVal","Direction"
"299","SCAI",0,1,1,"DOWN"
"300","PTPRS",0.0819352855208899,0.107786156180869,0.322723535707779,"UP"
"301","DUSP3",-0.0533124518556182,0.289694900222351,0.578154751371932,"DOWN"
"302","MAPT",0,1,1,"DOWN"
"303","CADM1",0.181715507088406,0.00115913920676708,0.0312857191616944,"UP"
"304","SRCIN1",0.0783989528024007,0.0941112424595991,0.302386558686913,"UP"
"305","SEPT8",0.0141083260933212,0.537714061583078,0.904917844730666,"UP"
"306","RPL26",0.0338341424073424,0.356932081325986,0.669454347106449,"UP"
"307","MACF1",8.91786829065294e-17,0.999999965623005,1,"UP"
"308","NDUFS5",0.0959000622684941,0.260625347227344,0.539133017549119,"UP"
"309","CADM4",0.259566935935073,0.00101038989719574,0.0297687911309612,"UP"
"310","ADGRB2",0.111268119165912,0.0568786651082383,0.238452865261461,"UP"
"311","IL1RAPL1",0,1,1,"DOWN"
"312","ATG2B",-0.0973768127334339,0.0243357006855529,0.163468527694773,"DOWN"
"313","GAS7",1.79094454851487e-18,0.999999996415258,1,"UP"
"314","HGS",-0.0976266248914861,0.126684783011273,0.357484653248845,"DOWN"
"315","AIFM1",0.0700390204219671,0.162204835724878,0.406719405693383,"UP"
"316","ATP6V0D1",-0.083555839316552,0.0435377046852468,0.213470337505172,"DOWN"
"317","2610301B20RIK;sp|Q3UJP5|CH037_MOUSE",0,1,1,"DOWN"
"318","ALDH3A2",0.103154036377026,0.0582120612916844,0.240770622274528,"UP"
"319","ATP6V1A",-0.162969858901614,0.00021134041079674,0.0110914578555178,"DOWN"
"320","GABRA3",3.75565233699596e-16,0.999999943526331,1,"UP"
"321","CLTA",0,1,1,"DOWN"
"322","CAMSAP3",0.124946610674502,0.0115253559961254,0.11530518697571,"UP"
"323","SLC4A10",0.0115293857316124,0.649227273878951,1,"UP"
"324","PLS3",-0.0597480348884951,0.230004161615653,0.496444626061509,"DOWN"
"325","FRRS1L",0.0775543553302675,0.0863334488492187,0.290497973625764,"UP"
"326","ELAVL2",3.09167546289112e-17,0.999999991360802,1,"UP"
"327","PRDX4",-6.8898050484966e-16,0.999999939274396,1,"DOWN"
"328","MYLK",0,1,1,"DOWN"
"329","MRPL2",0,1,1,"DOWN"
"330","STAT5A;STAT5B",0,1,1,"DOWN"
"331","HNRNPK",-0.0869095148139909,0.0707820490583076,0.264638953867076,"DOWN"
"332","SGSM1",-2.4418655767896e-16,0.9999999492524,1,"DOWN"
"333","STRN3",0,1,1,"DOWN"
"334","YTHDC2",0,1,1,"DOWN"
"335","GNAI1",0.0693801811712142,0.0950308339841461,0.303969958816106,"UP"
"336","APBA1",-0.123961992327617,0.100476629362299,0.311543509423146,"DOWN"
"337","ANKRD34A",-1.11144728072529e-15,0.999999891781389,1,"DOWN"
"338","CAND1",0.142821867271585,0.00225172777894368,0.0469220332759293,"UP"
"339","OGDHL",0.214521674247721,0.0614612283724758,0.246387791272835,"UP"
"340","HCN4",0.104859082990962,0.0510798771075784,0.228086136064846,"UP"
"341","KCNQ2",3.06085415200116e-15,0.999999817501224,1,"UP"
"342","UBE2V1;GM20431",-0.0420393126515178,0.396662352830351,0.722455724885099,"DOWN"
"343","MPP1",-0.028250922521287,0.477689858682595,0.822393158124848,"DOWN"
"344","ABI1",-0.00795332006252826,0.486784716569918,0.835077413292462,"DOWN"
"345","DIP2C",-6.72510117674899e-15,0.999999740777477,1,"DOWN"
"346","CANX",0.154565213957194,5.75490862606513e-05,0.005261100337506,"UP"
"347","NAP1L4",-5.53165419547408e-15,0.999999767412012,1,"DOWN"
"348","CCDC127",0.133013110794095,0.0267509977825311,0.17036478138358,"UP"
"349","CNOT1",0.035342581235376,0.287621155028954,0.575242310057907,"UP"
"350","CD47",0.195841703013661,0.00353067752783442,0.0606420612962591,"UP"
"351","CD81",0.151675787402746,0.0108604859168622,0.113156680472012,"UP"
"352","CEP170B",-3.16383690506059e-21,0.999999999988068,1,"DOWN"
"353","OSBPL8",0.0715669822374744,0.244447659079263,0.513798493503322,"UP"
"354","CTTNBP2",-0.0445107193747564,0.196801573723536,0.44887533101294,"DOWN"
"355","MON2",3.49901956367095e-16,0.999999959198992,1,"UP"
"356","TNIK",0,1,1,"DOWN"
"357","CD82",0.269876147330671,0.0173508138826836,0.140958963192424,"UP"
"358","CDH2",0.0980290726500058,0.0192282629346791,0.147748639145714,"UP"
"359","CDS2",0.144036050160855,0.00376415228075872,0.0621708518076651,"UP"
"360","CHL1",0.13003023290569,0.0159167702479993,0.136278328951148,"UP"
"361","CHRM1",0.184021943029146,0.0323898373143422,0.183725133464987,"UP"
"362","CIT",0.133264368889666,0.0457979372890455,0.218872435543263,"UP"
"363","ATP6V1B2",-0.193784902485945,1.49909362162181e-06,0.000472047924852911,"DOWN"
"364","NCLN",0,1,1,"DOWN"
"365","CKMT1",0.196441772203716,0.0155037747395377,0.133956395158079,"UP"
"366","NDUFV1",0.149174679570317,0.0632088695776322,0.250187061987444,"UP"
"367","ADAM22",0.0623732297409385,0.074254544603352,0.269446068381433,"UP"
"368","RUNDC3B",0,1,1,"DOWN"
"369","CCDC92",0,1,1,"DOWN"
"370","RASAL2",-4.33022313529869e-19,0.9999999993932,1,"DOWN"
"371","RPS19",0,1,1,"DOWN"
"372","PIP5K1A",-0.0446518678905358,0.289137688896664,0.577867567230709,"DOWN"
