"","logFC","logCPM","LR","PValue","FDR"
"Nup62",0.346172605470659,4.44058990867556,4.91907834241656,0.0265616833068271,0.251441658643584
"Wdr25",-0.346166030904834,3.4647696096367,3.58619221460296,0.0582615969571579,0.350702549110367
"Ocel1",0.34613861074644,3.12126786964921,4.09413294800499,0.0430322961679729,0.303221304953022
"Gm36908",0.346098400399709,0.755618602404863,1.55917207547032,0.211786485515292,0.5623399795175
"Gm28882",0.346067466607472,-3.57439749225401,0.151938312252385,0.696689877054892,0.967527766238318
"Gm40493",0.346024516846926,-2.45919307499128,0.373569849951624,0.541064795360565,0.853764834063645
"AA986860",0.346017897266802,2.52857498619301,3.38643962794958,0.0657347494617719,0.36791198230481
"Mef2b",0.345931458425718,-0.0986466138814047,0.736207609882367,0.39087843074937,0.72062603806679
"Amph",-0.345896157654601,7.06771481372163,2.11018622007639,0.146321510832772,0.516719988147205
"Gm16099",0.345881805820603,-1.61110771229662,0.640924016398221,0.423376395414766,0.75158965136884
"Tat",-0.345844011045358,-3.71915040961171,0.0963291336063667,0.756280099004264,1
"Gm16033",-0.345844011045358,-3.71915040961171,0.0963291336063667,0.756280099004264,1
"Nlrp12",0.345833048972324,-2.64537879771697,0.357750326211566,0.549758309060956,0.860912544378289
"Impdh1",-0.345780009324959,5.25099216837001,2.55601564099346,0.109875184188618,0.444252401114351
"Gm56590",0.345776013255776,-2.50572267539402,0.324345416406423,0.569007837037737,0.872384118476313
"Mphosph8",-0.345749857391643,5.23943648049402,4.13540434054362,0.0419950337669447,0.300625749232887
"Nufip2",-0.345728990117215,5.14167246904552,3.59123251648616,0.0580851482396655,0.350066396133535
"Rnf157",-0.34569783818916,8.47965524382087,2.40970916885198,0.120584766814475,0.46414269370863
"Platr8",-0.345678748725148,-3.72038770065902,0.0963063869675427,0.756307963999617,1
"Mir7-1",0.345672367593551,-3.03455575929787,0.124041732070051,0.724691585659683,0.98660466863176
"Sys1",0.345663955826599,5.19198129386831,6.75643940607153,0.00934099639038564,0.159690156796995
"Gm49783",-0.345648944265538,-2.42582539026605,0.253185477355185,0.614840962813882,0.90598813781511
"Gm45328",0.34564395626485,-3.32197825006357,0.121962317687556,0.726915866623415,0.988398450886306
"Atp5d",0.345606132772365,7.61574934514506,4.69803804879444,0.0301970694967659,0.268978475754965
"Gm57159",0.345597666699168,-2.06754627656755,0.159422186161773,0.6896890538418,0.962210713085
"Acbd5",-0.345548548802984,6.83467830221501,4.22813857086753,0.0397590222259131,0.292990205206404
"Gm16209",-0.345515983748354,-3.54197621734108,0.0969310717690099,0.755544021872161,1
"5330439A09Rik",0.345510433043896,-3.47396256419928,0.16652296907723,0.683220625294297,0.957701105135641
"Trappc11",-0.345507590517431,5.57015157423106,3.74885449820699,0.0528437145029133,0.333189554524911
"5430414B12Rik",0.345503639895902,-1.07841975443133,0.809618318232944,0.368233119080495,0.709601252743583
